Stabr,County,amount_of_facilities
FL,Walton,2
GA,Appling,9
GA,Atkinson,3
GA,Bacon,1
GA,Baldwin,5
GA,Banks,4
GA,Barrow,27
GA,Bartow,89
GA,Ben Hill,4
GA,Berrien,4
GA,Bibb,41
GA,Brantley,2
GA,Brooks,4
GA,Bryan,9
GA,Bulloch,9
GA,Burke,1
GA,Camden,13
GA,Carroll,33
GA,Catoosa,6
GA,Chatham,86
GA,Chattahoochee,9
GA,Chattooga,1
GA,Cherokee,29
GA,Clarke,32
GA,Clay,3
GA,Clayton,35
GA,Clinch,5
GA,Cobb,107
GA,Coffee,28
GA,Colquitt,6
GA,Columbia,11
GA,Cook,12
GA,Coweta,22
GA,Crawford,2
GA,Crisp,36
GA,Dade,3
GA,Dawson,3
GA,Decatur,16
GA,Dekalb,65
GA,Dooly,3
GA,Dougherty,21
GA,Douglas,12
GA,Early,28
GA,Effingham,18
GA,Elbert,2
GA,Emanuel,2
GA,Evans,5
GA,Fayette,21
GA,Floyd,50
GA,Forsyth,23
GA,Franklin,20
GA,Fulton,97
GA,Gilmer,4
GA,Glynn,31
GA,Gordon,38
GA,Grady,3
GA,Greene,8
GA,Gwinnett,70
GA,Habersham,13
GA,Hall,62
GA,Haralson,7
GA,Harris,4
GA,Hart,2
GA,Henry,29
GA,Houston,29
GA,Irwin,10
GA,Jackson,56
GA,Jasper,1
GA,Jeff Davis,1
GA,Jefferson,1
GA,Lamar,5
GA,Laurens,25
GA,Lee,4
GA,Liberty,29
GA,Lowndes,86
GA,Lumpkin,2
GA,Macon,19
GA,Madison,3
GA,Mcduffie,5
GA,Mcintosh,1
GA,Mitchell,8
GA,Monroe,20
GA,Morgan,7
GA,Murray,8
GA,Muscogee,28
GA,Newton,33
GA,Oglethorpe,4
GA,Paulding,5
GA,Peach,4
GA,Pickens,7
GA,Pierce,7
GA,Pike,5
GA,Polk,18
GA,Putnam,5
GA,Rabun,2
GA,Randolph,5
GA,Richmond,55
GA,Rockdale,33
GA,Schley,4
GA,Screven,4
GA,Spalding,9
GA,Stephens,5
GA,Sumter,6
GA,Taliaferro,3
GA,Taylor,2
GA,Terrell,1
GA,Thomas,5
GA,Tift,32
GA,Toombs,8
GA,Troup,45
GA,Union,1
GA,Upson,5
GA,Walker,2
GA,Walton,24
GA,Ware,7
GA,Warren,6
GA,Washington,9
GA,Wayne,26
GA,Webster,3
GA,White,1
GA,Whitfield,86
GA,Wilkes,3
GA,Wilkinson,1
GU,Guam,39
HI,Hawaii,30
HI,Honolulu,118
HI,Kauai,5
HI,Maui,15
IA,Adair,5
IA,Adams,9
IA,Allamakee,12
IA,Appanoose,9
IA,Benton,1
IA,Black Hawk,78
IA,Boone,5
IA,Bremer,1
IA,Buchanan,12
IA,Buena Vista,26
IA,Butler,26
IA,Calhoun,1
IA,Carroll,4
IA,Cass,12
IA,Cedar,9
IA,Cerro Gordo,34
IA,Cherokee,12
IA,Chickasaw,29
IA,Clarke,3
IA,Clayton,4
IA,Clinton,53
IA,Crawford,10
IA,Dallas,17
IA,Davis,1
IA,Delaware,21
IA,Des Moines,29
IA,Dickinson,18
IA,Dubuque,46
IA,Emmet,12
IA,Fayette,3
IA,Floyd,25
IA,Franklin,18
IA,Fremont,15
IA,Greene,18
IA,Grundy,4
IA,Guthrie,14
IA,Hamilton,23
IA,Hancock,15
IA,Hardin,23
IA,Harrison,3
IA,Henry,15
IA,Howard,4
IA,Humboldt,2
IA,Ida,18
IA,Iowa,9
IA,Jackson,7
IA,Jasper,11
IA,Jefferson,5
IA,Johnson,15
IA,Keokuk,3
IA,Kossuth,13
IA,Lee,51
IA,Linn,120
IA,Louisa,14
IA,Lucas,6
IA,Mahaska,16
IA,Marion,20
IA,Marshall,10
IA,Mills,1
IA,Mitchell,20
IA,Monroe,28
IA,Montgomery,9
IA,Muscatine,66
IA,O'Brien,15
IA,Osceola,5
IA,Page,9
IA,Palo Alto,9
IA,Plymouth,17
IA,Pocahontas,4
IA,Polk,102
IA,Pottawattamie,52
IA,Poweshiek,5
IA,Sac,4
IA,Scott,75
IA,Shelby,2
IA,Sioux,41
IA,Story,29
IA,Tama,6
IA,Taylor,3
IA,Union,8
IA,Van Buren,4
IA,Wapello,19
IA,Warren,3
IA,Washington,2
IA,Wayne,4
IA,Webster,42
IA,Winnebago,1
IA,Winneshiek,10
IA,Woodbury,73
IA,Worth,7
IA,Wright,16
ID,Ada,50
ID,Adams,1
ID,Bannock,4
ID,Benewah,4
ID,Bingham,11
ID,Blaine,3
ID,Bonner,10
ID,Bonneville,16
ID,Boundary,1
ID,Butte,7
ID,Canyon,47
ID,Caribou,37
ID,Cassia,18
ID,Clearwater,1
ID,Custer,1
ID,Elmore,3
ID,Gooding,12
ID,Idaho,2
ID,Jerome,7
ID,Kootenai,20
ID,Latah,3
ID,Lemhi,4
ID,Lewis,1
ID,Lincoln,5
ID,Minidoka,13
ID,Nez Perce,64
ID,Owyhee,54
ID,Payette,4
ID,Power,19
ID,Shoshone,21
ID,Twin Falls,17
IL,Adams,40
IL,Alexander,1
IL,Bond,5
IL,Boone,11
IL,Bureau,1
IL,Carroll,21
IL,Cass,3
IL,Champaign,52
IL,Christian,26
IL,Clark,5
IL,Clay,8
IL,Coles,9
IL,Cook,972
IL,Crawford,42
IL,Cumberland,3
IL,Dekalb,33
IL,Douglas,5
IL,Dupage,178
IL,Edgar,11
IL,Edwards,4
IL,Effingham,5
IL,Ford,11
IL,Franklin,6
IL,Fulton,1
IL,Grundy,56
IL,Henry,29
IL,Iroquois,2
IL,Jackson,5
IL,Jasper,16
IL,Jefferson,5
IL,Jersey,2
IL,Jo Daviess,15
IL,Kane,114
IL,Kankakee,65
IL,Kendall,3
IL,Knox,14
IL,Lake,101
IL,Lasalle,82
IL,Lee,15
IL,Livingston,11
IL,Logan,2
IL,Macon,145
IL,Macoupin,2
IL,Madison,154
IL,Marion,7
IL,Marshall,2
IL,Mason,1
IL,Massac,11
IL,Mcdonough,6
IL,Mchenry,67
IL,Mclean,17
IL,Mercer,2
IL,Monroe,10
IL,Montgomery,3
IL,Morgan,2
IL,Moultrie,7
IL,Ogle,33
IL,Peoria,55
IL,Perry,9
IL,Piatt,1
IL,Pike,2
IL,Putnam,19
IL,Randolph,22
IL,Richland,1
IL,Rock Island,89
IL,Sangamon,17
IL,St. Clair,160
IL,Stark,4
IL,Stephenson,37
IL,Tazewell,66
IL,Vermilion,35
IL,Warren,3
IL,Washington,31
IL,White,3
IL,Whiteside,21
IL,Will,250
IL,Williamson,32
IL,Winnebago,104
IL,Woodford,12
IN,Adams,18
IN,Allen,134
IN,Bartholomew,41
IN,Blackford,7
IN,Boone,9
IN,Carroll,2
IN,Cass,70
IN,Clark,27
IN,Clay,18
IN,Clinton,22
IN,Daviess,14
IN,Dearborn,7
IN,Decatur,40
IN,Dekalb,79
IN,Delaware,45
IN,Dubois,16
IN,Elkhart,226
IN,Fayette,20
IN,Floyd,16
IN,Fountain,18
IN,Franklin,6
IN,Fulton,6
IN,Gibson,49
IN,Grant,31
IN,Greene,1
IN,Hamilton,31
IN,Hancock,28
IN,Harrison,2
IN,Hendricks,12
IN,Henry,13
IN,Howard,30
IN,Huntington,31
IN,Jackson,34
IN,Jasper,35
IN,Jay,18
IN,Jefferson,35
IN,Jennings,9
IN,Johnson,29
IN,Knox,25
IN,Kosciusko,84
IN,Lagrange,17
IN,Lake,320
IN,Laporte,75
IN,Lawrence,14
IN,Madison,16
IN,Marion,229
IN,Marshall,46
IN,Martin,9
IN,Miami,2
IN,Monroe,4
IN,Montgomery,38
IN,Morgan,16
IN,Noble,46
IN,Orange,1
IN,Parke,1
IN,Perry,19
IN,Pike,19
IN,Porter,116
IN,Posey,86
IN,Pulaski,6
IN,Putnam,66
IN,Randolph,12
IN,Ripley,20
IN,Rush,6
IN,Scott,4
IN,Shelby,37
IN,Spencer,29
IN,St. Joseph,84
IN,Starke,17
IN,Steuben,38
IN,Sullivan,25
IN,Tippecanoe,114
IN,Tipton,1
IN,Union,4
IN,Vanderburgh,43
IN,Vermillion,27
IN,Vigo,47
IN,Wabash,37
IN,Warren,1
IN,Warrick,50
IN,Washington,14
IN,Wayne,33
IN,Wells,29
IN,White,10
IN,Whitley,46
KS,Allen,13
KS,Anderson,3
KS,Atchison,15
KS,Barber,1
KS,Barton,13
KS,Bourbon,2
KS,Brown,3
KS,Butler,80
KS,Cherokee,36
KS,Cloud,3
KS,Cowley,8
KS,Crawford,8
KS,Dickinson,3
KS,Doniphan,10
KS,Douglas,18
KS,Ellis,11
KS,Ellsworth,9
KS,Finney,35
KS,Ford,25
KS,Franklin,4
KS,Geary,5
KS,Gove,8
KS,Grant,11
KS,Harper,6
KS,Harvey,21
KS,Haskell,1
KS,Johnson,45
KS,Kingman,2
KS,Labette,9
KS,Leavenworth,7
KS,Linn,16
KS,Lyon,5
KS,Marion,4
KS,Marshall,12
KS,Mcpherson,48
KS,Miami,2
KS,Mitchell,7
KS,Montgomery,90
KS,Morris,13
KS,Neosho,41
KS,Osborne,2
KS,Phillips,4
KS,Pottawatomie,24
KS,Pratt,5
KS,Reno,29
KS,Republic,1
KS,Rice,31
KS,Riley,3
KS,Rush,1
KS,Russell,9
KS,Saline,21
KS,Sedgwick,178
KS,Seward,20
KS,Shawnee,20
KS,Sherman,2
KS,Sumner,1
KS,Wilson,32
KS,Wyandotte,150
KY,Allen,1
KY,Anderson,10
KY,Ballard,22
KY,Barren,29
KY,Boone,71
KY,Bourbon,24
KY,Boyd,52
KY,Boyle,10
KY,Bullitt,4
KY,Butler,6
KY,Caldwell,6
KY,Calloway,16
KY,Campbell,4
KY,Carroll,59
KY,Carter,6
KY,Christian,44
KY,Clark,5
KY,Clay,1
KY,Clinton,5
KY,Cumberland,1
KY,Daviess,42
KY,Fayette,29
KY,Fleming,2
KY,Floyd,10
KY,Franklin,10
KY,Fulton,10
KY,Gallatin,14
KY,Graves,7
KY,Grayson,3
KY,Greenup,9
KY,Hancock,38
KY,Hardin,24
KY,Harrison,5
KY,Hart,4
KY,Henderson,54
KY,Henry,9
KY,Hopkins,6
KY,Jefferson,318
KY,Jessamine,14
KY,Kenton,63
KY,Knox,6
KY,Laurel,7
KY,Lewis,4
KY,Lincoln,1
KY,Logan,28
KY,Lyon,4
KY,Madison,57
KY,Marion,11
KY,Marshall,137
KY,Martin,1
KY,Mason,24
KY,Mccracken,42
KY,Mccreary,1
KY,Mclean,3
KY,Meade,26
KY,Mercer,18
KY,Metcalfe,5
KY,Montgomery,3
KY,Morgan,4
KY,Muhlenberg,9
KY,Nelson,17
KY,Ohio,24
KY,Pendleton,4
KY,Powell,7
KY,Pulaski,24
KY,Rowan,14
KY,Russell,2
KY,Scott,31
KY,Shelby,13
KY,Simpson,28
KY,Taylor,2
KY,Todd,11
KY,Trigg,7
KY,Trimble,20
KY,Union,3
KY,Warren,92
KY,Washington,6
KY,Webster,4
KY,Whitley,4
KY,Woodford,6
LA,Acadia Parish,21
LA,Allen Parish,4
LA,Ascension Parish,270
LA,Assumption Parish,5
LA,Avoyelles Parish,12
LA,Beauregard Parish,26
LA,Bienville Parish,12
LA,Bossier Parish,30
LA,Caddo Parish,86
LA,Calcasieu Parish,440
LA,Claiborne Parish,1
LA,Concordia Parish,3
LA,De Soto Parish,20
LA,East Baton Rouge Parish,288
LA,Evangeline Parish,12
LA,Grant Parish,3
LA,Iberia Parish,12
LA,Iberville Parish,298
LA,Jackson Parish,14
LA,Jefferson Davis Parish,4
LA,Jefferson Parish,74
LA,La Salle Parish,6
LA,Lafayette Parish,70
LA,Lafourche Parish,56
LA,Lincoln Parish,20
LA,Livingston Parish,10
LA,Madison Parish,6
LA,Morehouse Parish,5
LA,Natchitoches Parish,32
LA,Orleans Parish,3
LA,Ouachita Parish,33
LA,Plaquemines Parish,55
LA,Pointe Coupee Parish,9
LA,Rapides Parish,39
LA,Red River Parish,29
LA,Richland Parish,3
LA,Sabine Parish,6
LA,St. Bernard Parish,76
LA,St. Charles Parish,278
LA,St. James Parish,54
LA,St. John The Baptist Parish,127
LA,St. Landry Parish,30
LA,St. Martin Parish,3
LA,St. Mary Parish,68
LA,St. Tammany Parish,3
LA,Tangipahoa Parish,15
LA,Terrebonne Parish,27
LA,Union Parish,7
LA,Vermilion Parish,34
LA,Vernon Parish,2
LA,Washington Parish,17
LA,Webster Parish,16
LA,West Baton Rouge Parish,98
LA,West Carroll Parish,1
LA,West Feliciana Parish,10
LA,Winn Parish,9
MA,Barnstable,10
MA,Berkshire,22
MA,Bristol,115
MA,Essex,80
MA,Franklin,14
MA,Hampden,99
MA,Hampshire,22
MA,Middlesex,145
MA,Nantucket,9
MA,Norfolk,94
MA,Plymouth,31
MA,Suffolk,46
MA,Worcester,133
MD,Allegany,10
MD,Anne Arundel,50
MD,Baltimore,39
MD,Baltimore City,107
MD,Calvert,9
MD,Caroline,5
MD,Carroll,29
MD,Cecil,9
MD,Charles,10
MD,Dorchester,14
MD,Frederick,21
MD,Harford,30
MD,Howard,17
MD,Kent,9
MD,Montgomery,17
MD,Prince George's,23
MD,Somerset,3
MD,St. Mary's,5
MD,Washington,49
MD,Wicomico,21
MD,Worcester,3
ME,Androscoggin,22
ME,Aroostook,21
ME,Cumberland,86
ME,Franklin,2
ME,Hancock,1
ME,Kennebec,6
ME,Knox,12
ME,Lincoln,3
ME,Oxford,20
ME,Penobscot,6
ME,Sagadahoc,9
ME,Somerset,25
ME,Waldo,19
ME,Washington,20
ME,York,20
MI,Alger,3
MI,Allegan,55
MI,Alpena,14
MI,Antrim,11
MI,Baraga,1
MI,Barry,24
MI,Bay,28
MI,Berrien,62
MI,Branch,40
MI,Calhoun,67
MI,Cass,12
MI,Charlevoix,14
MI,Chippewa,1
MI,Clare,4
MI,Clinton,28
MI,Crawford,22
MI,Delta,22
MI,Dickinson,32
MI,Eaton,43
MI,Genesee,101
MI,Gogebic,1
MI,Grand Traverse,6
MI,Gratiot,15
MI,Hillsdale,5
MI,Houghton,14
MI,Huron,22
MI,Ingham,66
MI,Ionia,18
MI,Iosco,8
MI,Isabella,16
MI,Jackson,61
MI,Kalamazoo,81
MI,Kalkaska,8
MI,Kent,169
MI,Lapeer,14
MI,Lenawee,32
MI,Livingston,40
MI,Luce,6
MI,Macomb,192
MI,Manistee,18
MI,Marquette,14
MI,Mason,4
MI,Mecosta,4
MI,Menominee,13
MI,Midland,123
MI,Missaukee,5
MI,Monroe,59
MI,Montcalm,18
MI,Muskegon,131
MI,Newaygo,10
MI,Oakland,175
MI,Oceana,2
MI,Ogemaw,4
MI,Osceola,13
MI,Otsego,1
MI,Ottawa,98
MI,Saginaw,39
MI,Sanilac,10
MI,Schoolcraft,2
MI,Shiawassee,12
MI,St. Joseph,12
MI,St. Clair,68
MI,Tuscola,10
MI,Van Buren,13
MI,Washtenaw,24
MI,Wayne,631
MI,Wexford,21
MN,Anoka,75
MN,Becker,12
MN,Beltrami,4
MN,Benton,8
MN,Blue Earth,44
MN,Brown,14
MN,Carlton,19
MN,Carver,31
MN,Cass,1
MN,Chippewa,9
MN,Chisago,9
MN,Clay,8
MN,Clearwater,1
MN,Cottonwood,9
MN,Crow Wing,4
MN,Dakota,99
MN,Dodge,10
MN,Douglas,7
MN,Faribault,10
MN,Fillmore,11
MN,Freeborn,18
MN,Goodhue,24
MN,Hennepin,202
MN,Hubbard,4
MN,Isanti,6
MN,Itasca,19
MN,Jackson,18
MN,Kandiyohi,26
MN,Kittson,1
MN,Koochiching,15
MN,Lac Qui Parle,5
MN,Lake,8
MN,Le Sueur,7
MN,Lyon,14
MN,Marshall,1
MN,Martin,30
MN,Mcleod,28
MN,Meeker,8
MN,Morrison,7
MN,Mower,4
MN,Nicollet,5
MN,Nobles,8
MN,Olmsted,17
MN,Otter Tail,21
MN,Pennington,5
MN,Pine,1
MN,Pipestone,4
MN,Polk,15
MN,Ramsey,80
MN,Redwood,14
MN,Renville,11
MN,Rice,22
MN,Rock,3
MN,Roseau,2
MN,Scott,49
MN,Sherburne,26
MN,Sibley,14
MN,St. Louis,34
MN,Stearns,54
MN,Steele,31
MN,Stevens,10
MN,Swift,12
MN,Todd,6
MN,Wabasha,7
MN,Wadena,2
MN,Waseca,15
MN,Washington,80
MN,Winona,28
MN,Wright,13
MO,Adair,1
MO,Andrew,1
MO,Audrain,15
MO,Barry,32
MO,Barton,1
MO,Boone,30
MO,Buchanan,79
MO,Butler,6
MO,Caldwell,1
MO,Callaway,11
MO,Camden,1
MO,Cape Girardeau,86
MO,Carroll,7
MO,Carter,1
MO,Cass,19
MO,Cedar,2
MO,Christian,10
MO,Clay,72
MO,Cole,24
MO,Cooper,4
MO,Crawford,8
MO,Daviess,4
MO,Dent,1
MO,Douglas,2
MO,Dunklin,3
MO,Franklin,67
MO,Gentry,4
MO,Greene,96
MO,Grundy,3
MO,Henry,12
MO,Holt,9
MO,Howard,1
MO,Howell,6
MO,Iron,19
MO,Jackson,154
MO,Jasper,57
MO,Jefferson,49
MO,Johnson,13
MO,Laclede,19
MO,Lafayette,3
MO,Lawrence,18
MO,Lincoln,7
MO,Livingston,8
MO,Macon,9
MO,Maries,3
MO,Marion,28
MO,Mcdonald,10
MO,Moniteau,4
MO,Monroe,3
MO,Montgomery,16
MO,Morgan,1
MO,New Madrid,24
MO,Newton,18
MO,Nodaway,20
MO,Osage,2
MO,Pemiscot,12
MO,Perry,9
MO,Pettis,49
MO,Phelps,3
MO,Pike,6
MO,Platte,23
MO,Polk,1
MO,Pulaski,3
MO,Putnam,3
MO,Ralls,41
MO,Randolph,16
MO,Ray,19
MO,Reynolds,13
MO,Saline,14
MO,Scott,16
MO,Shannon,1
MO,Shelby,1
MO,St. Charles,62
MO,St. Louis,112
MO,St. Louis City,197
MO,St. Francois,2
MO,Ste. Genevieve,18
MO,Stoddard,4
MO,Sullivan,4
MO,Taney,1
MO,Texas,2
MO,Vernon,15
MO,Warren,7
MO,Washington,16
MO,Wayne,4
MO,Webster,9
MO,Wright,1
MP,Saipan,26
MS,Adams,13
MS,Alcorn,10
MS,Amite,5
MS,Benton,1
MS,Bolivar,15
MS,Calhoun,2
MS,Chickasaw,1
MS,Choctaw,14
MS,Claiborne,1
MS,Clay,4
MS,Coahoma,3
MS,Copiah,17
MS,Covington,9
MS,Desoto,24
MS,Forrest,43
MS,George,6
MS,Grenada,22
MS,Hancock,21
MS,Harrison,46
MS,Hinds,39
MS,Humphreys,2
MS,Itawamba,16
MS,Jackson,90
MS,Jasper,5
MS,Jefferson Davis,1
MS,Jones,52
MS,Kemper,2
MS,Lafayette,12
MS,Lamar,7
MS,Lauderdale,22
MS,Lawrence,20
MS,Leake,4
MS,Lee,43
MS,Leflore,18
MS,Lincoln,5
MS,Lowndes,66
MS,Madison,32
MS,Marshall,12
MS,Monroe,41
MS,Montgomery,1
MS,Neshoba,7
MS,Newton,13
MS,Noxubee,3
MS,Oktibbeha,6
MS,Panola,10
MS,Pearl River,5
MS,Perry,27
MS,Pike,9
MS,Pontotoc,4
MS,Prentiss,6
MS,Rankin,23
MS,Scott,16
MS,Simpson,1
MS,Smith,8
MS,Stone,14
MS,Sunflower,8
MS,Tate,3
MS,Tippah,6
MS,Tishomingo,30
MS,Tunica,4
MS,Union,27
MS,Walthall,1
MS,Warren,34
MS,Washington,31
MS,Wayne,17
MS,Webster,2
MS,Wilkinson,5
MS,Winston,19
MS,Yalobusha,4
MS,Yazoo,12
MT,Big Horn,13
MT,Broadwater,7
MT,Cascade,23
MT,Custer,1
MT,Dawson,4
MT,Deer Lodge,3
MT,Flathead,20
MT,Gallatin,12
MT,Glacier,1
MT,Jefferson,6
MT,Lewis And Clark,4
MT,Lincoln,1
MT,Mccone,1
MT,Missoula,19
MT,Ravalli,4
MT,Richland,5
MT,Rosebud,22
MT,Sanders,1
MT,Sheridan,1
MT,Silver Bow,19
MT,Stillwater,19
MT,Sweet Grass,8
MT,Toole,11
MT,Yellowstone,122
NC,Alamance,28
NC,Alexander,9
NC,Alleghany,3
NC,Anson,10
NC,Ashe,5
NC,Beaufort,30
NC,Bertie,8
NC,Bladen,27
NC,Brunswick,21
NC,Buncombe,51
NC,Burke,24
NC,Cabarrus,34
NC,Caldwell,19
NC,Carteret,9
NC,Caswell,3
NC,Catawba,74
NC,Chatham,25
NC,Cherokee,3
NC,Chowan,2
NC,Cleveland,53
NC,Columbus,36
NC,Craven,34
NC,Cumberland,56
NC,Davidson,33
NC,Davie,13
NC,Duplin,22
NC,Durham,47
NC,Edgecombe,8
NC,Forsyth,50
NC,Franklin,10
NC,Gaston,98
NC,Granville,23
NC,Guilford,187
NC,Halifax,27
NC,Harnett,14
NC,Haywood,6
NC,Henderson,24
NC,Hertford,15
NC,Hoke,4
NC,Iredell,47
NC,Jackson,3
NC,Johnston,34
NC,Jones,4
NC,Lee,28
NC,Lenoir,17
NC,Lincoln,20
NC,Macon,1
NC,Madison,2
NC,Martin,23
NC,Mcdowell,8
NC,Mecklenburg,187
NC,Mitchell,1
NC,Montgomery,15
NC,Moore,6
NC,Nash,19
NC,New Hanover,41
NC,Northampton,13
NC,Onslow,13
NC,Orange,9
NC,Pasquotank,5
NC,Person,43
NC,Pitt,27
NC,Randolph,36
NC,Richmond,13
NC,Robeson,28
NC,Rockingham,26
NC,Rowan,83
NC,Rutherford,37
NC,Sampson,17
NC,Scotland,17
NC,Stanly,16
NC,Stokes,26
NC,Surry,25
