County,FIPS,Yes/No(1)
"Onondaga County, New York",36067,yes
"Onslow County, North Carolina",37133,yes
"Ontario County, New York",36069,yes
"Orange County, New York",36071,yes
"Orange County, Texas",48361,yes
"Orange County, Virginia",51137,yes
"Osage County, Oklahoma",40113,yes
"Osborne County, Kansas",20141,yes
"Osceola County, Florida",12097,yes
"Otero County, Colorado",8089,yes
"Otero County, New Mexico",35035,yes
"Otoe County, Nebraska",31131,yes
"Otsego County, New York",36077,yes
"Ottawa County, Michigan",26139,yes
"Ottawa County, Ohio",39123,yes
"Ottawa County, Oklahoma",40115,yes
"Otter Tail County, Minnesota",27111,yes
"Ouachita County, Arkansas",5103,yes
"Ouachita Parish, Louisiana",22073,yes
"Ouray County, Colorado",8091,yes
"Owyhee County, Idaho",16073,yes
"Page County, Iowa",19145,yes
"Palm Beach County, Florida",12099,yes
"Palo Pinto County, Texas",48363,yes
"Panola County, Texas",48365,yes
"Parke County, Indiana",18121,yes
"Parker County, Texas",48367,yes
"Passaic County, New Jersey",34031,yes
"Paulding County, Ohio",39125,yes
"Pawnee County, Kansas",20145,yes
"Pawnee County, Oklahoma",40117,yes
"Payette County, Idaho",16075,yes
"Payne County, Oklahoma",40119,yes
"Pecos County, Texas",48371,yes
"Pender County, North Carolina",37141,yes
"Pennington County, South Dakota",46103,yes
"Penobscot County, Maine",23019,yes
"Pepin County, Wisconsin",55091,yes
"Perry County, Indiana",18123,yes
"Perry County, Missouri",29157,yes
"Perry County, Pennsylvania",42099,yes
"Phillips County, Arkansas",5107,yes
"Pickens County, South Carolina",45077,yes
"Pierce County, Nebraska",31139,yes
"Pierce County, Washington",53053,yes
"Pike County, Kentucky",21195,yes
"Pike County, Missouri",29163,yes
"Pike County, Pennsylvania",42103,yes
"Pima County, Arizona",4019,yes
"Pinal County, Arizona",4021,yes
"Piscataquis County, Maine",23021,yes
"Pitkin County, Colorado",8097,yes
"Pittsburg County, Oklahoma",40121,yes
"Pittsylvania County, Virginia",51143,yes
"Plaquemines Parish, Louisiana",22075,yes
"Platte County, Missouri",29165,yes
"Platte County, Nebraska",31141,yes
"Plumas County, California",6063,yes
"Plymouth County, Massachusetts",25023,yes
"Pocahontas County, West Virginia",54075,yes
"Polk County, Arkansas",5113,yes
"Polk County, Florida",12105,yes
"Polk County, Oregon",41053,yes
"Polk County, Texas",48373,yes
"Pondera County, Montana",30073,yes
"Posey County, Indiana",18129,yes
"Pottawatomie County, Kansas",20149,yes
"Pottawatomie County, Oklahoma",40125,yes
"Potter County, Pennsylvania",42105,yes
"Pratt County, Kansas",20151,yes
"Presidio County, Texas",48377,yes
"Preston County, West Virginia",54077,yes
"Providence County, Rhode Island",44007,yes
"Prowers County, Colorado",8099,yes
"Pueblo County, Colorado",8101,yes
"Pulaski County, Indiana",18131,yes
"Pulaski County, Missouri",29169,yes
"Pulaski County, Virginia",51155,yes
"Pushmataha County, Oklahoma",40127,yes
"Putnam County, Florida",12107,yes
"Putnam County, New York",36079,yes
"Putnam County, Ohio",39137,yes
"Rabun County, Georgia",13241,yes
"Racine County, Wisconsin",55101,yes
"Rains County, Texas",48379,yes
"Raleigh County, West Virginia",54081,yes
"Ralls County, Missouri",29173,yes
"Rankin County, Mississippi",28121,yes
"Rapides Parish, Louisiana",22079,yes
"Rappahannock County, Virginia",51157,yes
"Real County, Texas",48385,yes
"Red River Parish, Louisiana",22081,yes
"Red Willow County, Nebraska",31145,yes
"Reeves County, Texas",48389,yes
"Refugio County, Texas",48391,yes
"Reno County, Kansas",20155,yes
"Rensselaer County, New York",36083,yes
"Republic County, Kansas",20157,yes
"Rhea County, Tennessee",47143,yes
"Rice County, Kansas",20159,yes
"Rich County, Utah",49033,yes
"Richland County, Montana",30083,yes
"Richland County, Ohio",39139,yes
"Richland Parish, Louisiana",22083,yes
"Richmond County, North Carolina",37153,yes
"Rio Arriba County, New Mexico",35039,yes
"Ripley County, Indiana",18137,yes
"Ritchie County, West Virginia",54085,yes
"Riverside County, California",6065,yes
"Roane County, Tennessee",47145,yes
"Roane County, West Virginia",54087,yes
"Roberts County, South Dakota",46109,yes
"Robeson County, North Carolina",37155,yes
"Rock County, Nebraska",31149,yes
"Rock County, Wisconsin",55105,yes
"Rock Island County, Illinois",17161,yes
"Rockingham County, New Hampshire",33015,yes
"Rockingham County, North Carolina",37157,yes
"Rockland County, New York",36087,yes
"Rogers County, Oklahoma",40131,yes
"Rolette County, North Dakota",38079,yes
"Rooks County, Kansas",20163,yes
"Roosevelt County, New Mexico",35041,yes
"Roseau County, Minnesota",27135,yes
"Rosebud County, Montana",30087,yes
"Routt County, Colorado",8107,yes
"Rowan County, Kentucky",21205,yes
"Rowan County, North Carolina",37159,yes
"Runnels County, Texas",48399,yes
"Rush County, Kansas",20165,yes
"Rusk County, Texas",48401,yes
"Rusk County, Wisconsin",55107,yes
"Russell County, Kentucky",21207,yes
"Rutherford County, Tennessee",47149,yes
"Rutland County, Vermont",50021,yes
"Sabine County, Texas",48403,yes
"Sabine Parish, Louisiana",22085,yes
"Sac County, Iowa",19161,yes
"Sacramento County, California",6067,yes
"Salem County, New Jersey",34033,yes
"Salt Lake County, Utah",49035,yes
"San Augustine County, Texas",48405,yes
"San Benito County, California",6069,yes
"San Bernardino County, California",6071,yes
"San Diego County, California",6073,yes
"San Jacinto County, Texas",48407,yes
"San Joaquin County, California",6077,yes
"San Juan County, New Mexico",35045,yes
"San Juan County, Utah",49037,yes
"San Juan County, Washington",53055,yes
"San Luis Obispo County, California",6079,yes
"San Mateo County, California",6081,yes
"San Miguel County, Colorado",8113,yes
"San Miguel County, New Mexico",35047,yes
"San Patricio County, Texas",48409,yes
"Sandoval County, New Mexico",35043,yes
"Sangamon County, Illinois",17167,yes
"Sanpete County, Utah",49039,yes
"Santa Clara County, California",6085,yes
"Santa Cruz County, California",6087,yes
"Santa Fe County, New Mexico",35049,yes
"Saratoga County, New York",36091,yes
"Schoharie County, New York",36095,yes
"Schuyler County, Illinois",17169,yes
"Schuylkill County, Pennsylvania",42107,yes
"Scotland County, Missouri",29199,yes
"Scotland County, North Carolina",37165,yes
"Scott County, Minnesota",27139,yes
"Scott County, Missouri",29201,yes
"Scott County, Virginia",51169,yes
"Sebastian County, Arkansas",5131,yes
"Seminole County, Florida",12117,yes
"Seminole County, Oklahoma",40133,yes
"Seneca County, New York",36099,yes
"Seneca County, Ohio",39147,yes
"Seward County, Nebraska",31159,yes
"Shackelford County, Texas",48417,yes
"Sharkey County, Mississippi",28125,yes
"Shasta County, California",6089,yes
"Shawano County, Wisconsin",55115,yes
"Shelby County, Illinois",17173,yes
"Shelby County, Texas",48419,yes
"Shenandoah County, Virginia",51171,yes
"Sheridan County, North Dakota",38083,yes
"Shiawassee County, Michigan",26155,yes
"Sibley County, Minnesota",27143,yes
"Sierra County, New Mexico",35051,yes
"Siskiyou County, California",6093,yes
"Skagway Municipality, Alaska",2230,yes
"Smith County, Kansas",20183,yes
"Smith County, Mississippi",28129,yes
"Smith County, Tennessee",47159,yes
"Smith County, Texas",48423,yes
"Snyder County, Pennsylvania",42109,yes
"Socorro County, New Mexico",35053,yes
"Solano County, California",6095,yes
"Somerset County, Maine",23025,yes
"Somervell County, Texas",48425,yes
"Sonoma County, California",6097,yes
"Southampton County, Virginia",51175,yes
"Spink County, South Dakota",46115,yes
"Spotsylvania County, Virginia",51177,yes
"St. Francois County, Missouri",29187,yes
"St. James Parish, Louisiana",22093,yes
"St. Landry Parish, Louisiana",22097,yes
"St. Louis County, Minnesota",27137,yes
"St. Lucie County, Florida",12111,yes
"St. Martin Parish, Louisiana",22099,yes
"St. Mary Parish, Louisiana",22101,yes
"St. Marys County, Maryland",24037,yes
"St. Tammany Parish, Louisiana",22103,yes
"Stanislaus County, California",6099,yes
"Stark County, Ohio",39151,yes
"Starr County, Texas",48427,yes
"Ste. Genevieve County, Missouri",29186,yes
"Stephens County, Oklahoma",40137,yes
"Steuben County, Indiana",18151,yes
"Steuben County, New York",36101,yes
"Stevens County, Washington",53065,yes
"Stewart County, Tennessee",47161,yes
"Stoddard County, Missouri",29207,yes
"Stone County, Arkansas",5137,yes
"Stone County, Missouri",29209,yes
"Strafford County, New Hampshire",33017,yes
"Stutsman County, North Dakota",38093,yes
"Suffolk County, New York",36103,yes
"Sullivan County, New York",36105,yes
"Summit County, Utah",49043,yes
"Sumner County, Kansas",20191,yes
"Sumter County, Florida",12119,yes
"Sussex County, Delaware",10005,yes
"Sussex County, New Jersey",34037,yes
"Sweetwater County, Wyoming",56037,yes
"Talbot County, Georgia",13263,yes
"Taliaferro County, Georgia",13265,yes
"Tallahatchie County, Mississippi",28135,yes
"Taney County, Missouri",29213,yes
"Tangipahoa Parish, Louisiana",22105,yes
"Taos County, New Mexico",35055,yes
"Tarrant County, Texas",48439,yes
"Taylor County, Florida",12123,yes
"Taylor County, Georgia",13269,yes
"Taylor County, Texas",48441,yes
"Taylor County, Wisconsin",55119,yes
"Tazewell County, Illinois",17179,yes
"Teller County, Colorado",8119,yes
"Tensas Parish, Louisiana",22107,yes
"Terry County, Texas",48445,yes
"Teton County, Idaho",16081,yes
"Teton County, Wyoming",56039,yes
"Texas County, Missouri",29215,yes
"Texas County, Oklahoma",40139,yes
"Throckmorton County, Texas",48447,yes
"Thurston County, Washington",53067,yes
"Tillamook County, Oregon",41057,yes
"Tillman County, Oklahoma",40141,yes
"Tioga County, Pennsylvania",42117,yes
"Tippecanoe County, Indiana",18157,yes
"Tolland County, Connecticut",9013,yes
"Tom Green County, Texas",48451,yes
"Tooele County, Utah",49045,yes
"Toombs County, Georgia",13279,yes
"Torrance County, New Mexico",35057,yes
"Travis County, Texas",48453,yes
"Trempealeau County, Wisconsin",55121,yes
"Trinity County, California",6105,yes
"Trinity County, Texas",48455,yes
"Trumbull County, Ohio",39155,yes
"Tulare County, California",6107,yes
"Tuscaloosa County, Alabama",1125,yes
"Twin Falls County, Idaho",16083,yes
"Tyler County, Texas",48457,yes
"Uinta County, Wyoming",56041,yes
"Uintah County, Utah",49047,yes
"Ulster County, New York",36111,yes
"Umatilla County, Oregon",41059,yes
"Union County, Illinois",17181,yes
"Union County, Kentucky",21225,yes
"Union County, South Carolina",45087,yes
"Union County, Tennessee",47173,yes
"Union Parish, Louisiana",22111,yes
"Utah County, Utah",49049,yes
"Uvalde County, Texas",48463,yes
"Val Verde County, Texas",48465,yes
"Valencia County, New Mexico",35061,yes
"Valley County, Idaho",16085,yes
"Van Buren County, Arkansas",5141,yes
"Van Buren County, Michigan",26159,yes
"Van Buren County, Tennessee",47175,yes
"Van Wert County, Ohio",39161,yes
"Venango County, Pennsylvania",42121,yes
"Ventura County, California",6111,yes
"Vermilion Parish, Louisiana",22113,yes
"Vernon County, Missouri",29217,yes
"Vernon County, Wisconsin",55123,yes
"Victoria County, Texas",48469,yes
"Vilas County, Wisconsin",55125,yes
"Volusia County, Florida",12127,yes
"Wabash County, Indiana",18169,yes
"Wagoner County, Oklahoma",40145,yes
"Wake County, North Carolina",37183,yes
"Waldo County, Maine",23027,yes
"Walker County, Alabama",1127,yes
"Walker County, Texas",48471,yes
"Walla Walla County, Washington",53071,yes
"Waller County, Texas",48473,yes
"Warren County, Georgia",13301,yes
"Warren County, Indiana",18171,yes
"Warren County, Missouri",29219,yes
"Warren County, New Jersey",34041,yes
"Warren County, New York",36113,yes
"Warren County, Ohio",39165,yes
"Warren County, Pennsylvania",42123,yes
"Warrick County, Indiana",18173,yes
"Wasatch County, Utah",49051,yes
"Wasco County, Oregon",41065,yes
"Washington County, Arkansas",5143,yes
"Washington County, Florida",12133,yes
"Washington County, Kansas",20201,yes
"Washington County, Maine",23029,yes
"Washington County, Mississippi",28151,yes
"Washington County, Missouri",29221,yes
"Washington County, Nebraska",31177,yes
"Washington County, New York",36115,yes
"Washington County, Oklahoma",40147,yes
"Washington County, Pennsylvania",42125,yes
"Washington County, Rhode Island",44009,yes
"Washington County, Texas",48477,yes
"Washington County, Utah",49053,yes
"Washington County, Vermont",50023,yes
"Washita County, Oklahoma",40149,yes
"Washoe County, Nevada",32031,yes
"Washtenaw County, Michigan",26161,yes
"Waukesha County, Wisconsin",55133,yes
"Wayne County, Illinois",17191,yes
"Wayne County, Michigan",26163,yes
"Wayne County, New York",36117,yes
"Wayne County, Pennsylvania",42127,yes
"Wayne County, Tennessee",47181,yes
"Wayne County, Utah",49055,yes
"Wayne County, West Virginia",54099,yes
"Webb County, Texas",48479,yes
"Weber County, Utah",49057,yes
"Webster County, Iowa",19187,yes
"Webster County, Kentucky",21233,yes
"Webster County, West Virginia",54101,yes
"Webster Parish, Louisiana",22119,yes
"Weld County, Colorado",8123,yes
"West Carroll Parish, Louisiana",22123,yes
"Westchester County, New York",36119,yes
"Westmoreland County, Pennsylvania",42129,yes
"Weston County, Wyoming",56045,yes
"Wetzel County, West Virginia",54103,yes
"Whatcom County, Washington",53073,yes
"White County, Arkansas",5145,yes
"White County, Indiana",18181,yes
"Whitley County, Kentucky",21235,yes
"Wicomico County, Maryland",24045,yes
"Wilbarger County, Texas",48487,yes
"Wilcox County, Alabama",1131,yes
"Will County, Illinois",17197,yes
"Williamsburg County, South Carolina",45089,yes
"Williamson County, Tennessee",47187,yes
"Wilson County, North Carolina",37195,yes
"Wilson County, Tennessee",47189,yes
"Windham County, Connecticut",9015,yes
"Windham County, Vermont",50025,yes
"Windsor County, Vermont",50027,yes
"Winn Parish, Louisiana",22127,yes
"Winnebago County, Illinois",17201,yes
"Winnebago County, Wisconsin",55139,yes
"Wise County, Texas",48497,yes
"Wood County, West Virginia",54107,yes
"Woodford County, Illinois",17203,yes
"Woodruff County, Arkansas",5147,yes
"Woodson County, Kansas",20207,yes
"Worcester County, Massachusetts",25027,yes
"Wrangell Borough, Alaska",2275,yes
"Wyoming County, New York",36121,yes
"Wyoming County, Pennsylvania",42131,yes
"Wyoming County, West Virginia",54109,yes
"Wythe County, Virginia",51197,yes
"Yakima County, Washington",53077,yes
"Yamhill County, Oregon",41071,yes
"Yavapai County, Arizona",4025,yes
"Yell County, Arkansas",5149,yes
"Yellowstone County, Montana",30111,yes
"Yoakum County, Texas",48501,yes
"Yolo County, California",6113,yes
"York County, Maine",23031,yes
"York County, Pennsylvania",42133,yes
"York County, South Carolina",45091,yes
"Yukon-Koyukuk Census Area, Alaska",2290,yes
"Yuma County, Arizona",4027,yes
"Zapata County, Texas",48505,yes
"Abbeville County, South Carolina",45001,no
"Acadia Parish, Louisiana",22001,no
"Adair County, Iowa",19001,no
"Adair County, Kentucky",21001,no
"Adair County, Missouri",29001,no
"Adair County, Oklahoma",40001,no
"Adams County, Idaho",16003,no
"Adams County, Iowa",19003,no
"Adams County, Mississippi",28001,no
"Adams County, North Dakota",38001,no
"Adams County, Ohio",39001,no
"Adams County, Washington",53001,no
"Addison County, Vermont",50001,no
"Aiken County, South Carolina",45003,no
"Aitkin County, Minnesota",27001,no
"Alachua County, Florida",12001,no
"Alamance County, North Carolina",37001,no
"Alameda County, California",6001,no
"Albany County, Wyoming",56001,no
"Albemarle County, Virginia",51003,no
"Alcona County, Michigan",26001,no
"Alcorn County, Mississippi",28003,no
"Alexander County, Illinois",17003,no
"Alexander County, North Carolina",37003,no
"Alfalfa County, Oklahoma",40003,no
"Alger County, Michigan",26003,no
"Allamakee County, Iowa",19005,no
"Allegan County, Michigan",26005,no
"Alleghany County, North Carolina",37005,no
"Allen County, Indiana",18003,no
"Allen County, Kentucky",21003,no
"Allen County, Ohio",39003,no
"Allendale County, South Carolina",45005,no
"Alpena County, Michigan",26007,no
"Alpine County, California",6003,no
"Amador County, California",6005,no
"Amelia County, Virginia",51007,no
"Amherst County, Virginia",51009,no
"Amite County, Mississippi",28005,no
"Anderson County, Kansas",20003,no
"Anderson County, Kentucky",21005,no
"Anderson County, South Carolina",45007,no
"Anderson County, Tennessee",47001,no
"Androscoggin County, Maine",23001,no
"Anne Arundel County, Maryland",24003,no
"Anoka County, Minnesota",27003,no
"Anson County, North Carolina",37007,no
"Antelope County, Nebraska",31003,no
"Antrim County, Michigan",26009,no
"Apache County, Arizona",4001,no
"Appanoose County, Iowa",19007,no
"Appling County, Georgia",13001,no
"Appomattox County, Virginia",51011,no
"Arapahoe County, Colorado",8005,no
"Archer County, Texas",48009,no
"Arenac County, Michigan",26011,no
"Arkansas County, Arkansas",5001,no
"Arlington County, Virginia",51013,no
"Armstrong County, Texas",48011,no
"Ashe County, North Carolina",37009,no
"Ashland County, Ohio",39005,no
"Ashley County, Arkansas",5003,no
"Ashtabula County, Ohio",39007,no
"Asotin County, Washington",53003,no
"Assumption Parish, Louisiana",22007,no
"Atascosa County, Texas",48013,no
"Atchison County, Kansas",20005,no
"Atchison County, Missouri",29005,no
"Athens County, Ohio",39009,no
"Atkinson County, Georgia",13003,no
"Attala County, Mississippi",28007,no
"Audubon County, Iowa",19009,no
"Auglaize County, Ohio",39011,no
"Augusta County, Virginia",51015,no
"Aurora County, South Dakota",46003,no
"Autauga County, Alabama",1001,no
"Avery County, North Carolina",37011,no
"Bacon County, Georgia",13005,no
"Bailey County, Texas",48017,no
"Baker County, Florida",12003,no
"Baker County, Georgia",13007,no
"Baldwin County, Alabama",1003,no
"Ballard County, Kentucky",21007,no
"Baltimore City, Maryland",24510,no
"Baltimore County, Maryland",24005,no
"Bandera County, Texas",48019,no
"Banner County, Nebraska",31007,no
"Bannock County, Idaho",16005,no
"Barber County, Kansas",20007,no
"Barbour County, Alabama",1005,no
"Barbour County, West Virginia",54001,no
"Barnes County, North Dakota",38003,no
"Barnstable County, Massachusetts",25001,no
"Barnwell County, South Carolina",45011,no
"Barren County, Kentucky",21009,no
"Barron County, Wisconsin",55005,no
"Bartholomew County, Indiana",18005,no
"Barton County, Missouri",29011,no
"Bartow County, Georgia",13015,no
"Bath County, Virginia",51017,no
"Bay County, Michigan",26017,no
"Bayfield County, Wisconsin",55007,no
"Baylor County, Texas",48023,no
"Beadle County, South Dakota",46005,no
"Bear Lake County, Idaho",16007,no
"Beaufort County, North Carolina",37013,no
"Beaver County, Oklahoma",40007,no
"Beaver County, Utah",49001,no
"Beaverhead County, Montana",30001,no
"Beckham County, Oklahoma",40009,no
"Bedford City and County, Virginia",51917,no
"Bell County, Kentucky",21013,no
"Belmont County, Ohio",39013,no
"Beltrami County, Minnesota",27007,no
"Ben Hill County, Georgia",13017,no
"Benewah County, Idaho",16009,no
"Bennett County, South Dakota",46007,no
"Bennington County, Vermont",50003,no
"Benson County, North Dakota",38005,no
"Benton County, Iowa",19011,no
"Benton County, Minnesota",27009,no
"Benton County, Mississippi",28009,no
"Benton County, Missouri",29015,no
"Benton County, Tennessee",47005,no
"Benzie County, Michigan",26019,no
"Bergen County, New Jersey",34003,no
"Berkeley County, South Carolina",45015,no
"Berkshire County, Massachusetts",25003,no
"Berrien County, Georgia",13019,no
"Bertie County, North Carolina",37015,no
"Bibb County, Georgia",13021,no
"Big Horn County, Montana",30003,no
"Big Horn County, Wyoming",56003,no
"Big Stone County, Minnesota",27011,no
"Billings County, North Dakota",38007,no
"Black Hawk County, Iowa",19013,no
"Blackford County, Indiana",18009,no
"Blaine County, Nebraska",31009,no
"Blair County, Pennsylvania",42013,no
"Blanco County, Texas",48031,no
"Bland County, Virginia",51021,no
"Bleckley County, Georgia",13023,no
"Bledsoe County, Tennessee",47007,no
"Blount County, Alabama",1009,no
"Blount County, Tennessee",47009,no
"Blue Earth County, Minnesota",27013,no
"Bolivar County, Mississippi",28011,no
"Bollinger County, Missouri",29017,no
"Bond County, Illinois",17005,no
"Bonner County, Idaho",16017,no
"Boone County, Arkansas",5009,no
"Boone County, Illinois",17007,no
"Boone County, Kentucky",21015,no
"Boone County, Missouri",29019,no
"Boone County, Nebraska",31011,no
"Boone County, West Virginia",54005,no
"Botetourt County, Virginia",51023,no
"Bourbon County, Kentucky",21017,no
"Bowie County, Texas",48037,no
"Bowman County, North Dakota",38011,no
"Box Butte County, Nebraska",31013,no
"Boyd County, Kentucky",21019,no
"Boyd County, Nebraska",31015,no
"Boyle County, Kentucky",21021,no
"Bracken County, Kentucky",21023,no
"Bradford County, Florida",12007,no
"Bradley County, Arkansas",5011,no
"Bradley County, Tennessee",47011,no
"Branch County, Michigan",26023,no
"Brantley County, Georgia",13025,no
"Braxton County, West Virginia",54007,no
"Breckinridge County, Kentucky",21027,no
"Bremer County, Iowa",19017,no
"Bristol Bay Borough, Alaska",2060,no
"Bristol County, Rhode Island",44001,no
"Broadwater County, Montana",30007,no
"Bronx County, New York",36005,no
"Brooke County, West Virginia",54009,no
"Brookings County, South Dakota",46011,no
"Brooks County, Georgia",13027,no
"Brooks County, Texas",48047,no
"Broome County, New York",36007,no
"Broomfield County, Colorado",8014,no
"Broward County, Florida",12011,no
"Brown County, Illinois",17009,no
"Brown County, Indiana",18013,no
"Brown County, Kansas",20013,no
"Brown County, Nebraska",31017,no
"Brown County, Ohio",39015,no
"Brown County, Texas",48049,no
"Brule County, South Dakota",46015,no
"Brunswick County, North Carolina",37019,no
"Brunswick County, Virginia",51025,no
"Bryan County, Georgia",13029,no
"Buchanan County, Iowa",19019,no
"Buchanan County, Missouri",29021,no
"Buena Vista County, Iowa",19021,no
"Buffalo County, Nebraska",31019,no
"Buffalo County, South Dakota",46017,no
"Buffalo County, Wisconsin",55011,no
"Bullitt County, Kentucky",21029,no
"Bullock County, Alabama",1011,no
"Buncombe County, North Carolina",37021,no
"Burke County, Georgia",13033,no
"Burke County, North Carolina",37023,no
"Burke County, North Dakota",38013,no
"Burleigh County, North Dakota",38015,no
"Burnett County, Wisconsin",55013,no
"Burt County, Nebraska",31021,no
"Butler County, Alabama",1013,no
"Butler County, Iowa",19023,no
"Butler County, Kentucky",21031,no
"Butler County, Missouri",29023,no
"Butler County, Ohio",39017,no
"Butte County, Idaho",16023,no
"Butte County, South Dakota",46019,no
"Butts County, Georgia",13035,no
"Cabell County, West Virginia",54011,no
"Calaveras County, California",6009,no
"Caldwell County, Kentucky",21033,no
"Caldwell County, North Carolina",37027,no
"Calhoun County, Alabama",1015,no
"Calhoun County, Arkansas",5013,no
"Calhoun County, Florida",12013,no
"Calhoun County, Georgia",13037,no
"Calhoun County, Illinois",17013,no
"Calhoun County, Michigan",26025,no
"Calhoun County, Mississippi",28013,no
"Calhoun County, South Carolina",45017,no
"Callaway County, Missouri",29027,no
"Calloway County, Kentucky",21035,no
"Calumet County, Wisconsin",55015,no
"Calvert County, Maryland",24009,no
"Camas County, Idaho",16025,no
"Camden County, North Carolina",37029,no
"Cameron County, Pennsylvania",42023,no
"Camp County, Texas",48063,no
"Campbell County, Kentucky",21037,no
"Campbell County, Tennessee",47013,no
"Campbell County, Virginia",51031,no
"Candler County, Georgia",13043,no
"Cannon County, Tennessee",47015,no
"Cape Girardeau County, Missouri",29031,no
"Cape May County, New Jersey",34009,no
"Carbon County, Montana",30009,no
"Carbon County, Utah",49007,no
"Carlisle County, Kentucky",21039,no
"Carlton County, Minnesota",27017,no
"Caroline County, Maryland",24011,no
"Caroline County, Virginia",51033,no
"Carroll County, Georgia",13045,no
"Carroll County, Illinois",17015,no
"Carroll County, Indiana",18015,no
"Carroll County, Kentucky",21041,no
"Carroll County, Maryland",24013,no
"Carroll County, Mississippi",28015,no
"Carroll County, Ohio",39019,no
"Carroll County, Tennessee",47017,no
"Carroll County, Virginia",51035,no
"Carson County, Texas",48065,no
"Carter County, Kentucky",21043,no
"Carter County, Missouri",29035,no
"Carter County, Montana",30011,no
"Carter County, Tennessee",47019,no
"Carteret County, North Carolina",37031,no
"Carver County, Minnesota",27019,no
"Casey County, Kentucky",21045,no
"Cass County, Illinois",17017,no
"Cass County, Indiana",18017,no
"Cass County, Minnesota",27021,no
"Cass County, North Dakota",38017,no
"Caswell County, North Carolina",37033,no
"Catawba County, North Carolina",37035,no
"Cavalier County, North Dakota",38019,no
"Cedar County, Missouri",29039,no
"Cedar County, Nebraska",31027,no
"Cerro Gordo County, Iowa",19033,no
"Chambers County, Alabama",1017,no
"Champaign County, Ohio",39021,no
"Chariton County, Missouri",29041,no
"Charles City County, Virginia",51036,no
"Charles County, Maryland",24017,no
"Charles Mix County, South Dakota",46023,no
"Charleston County, South Carolina",45019,no
"Charlevoix County, Michigan",26029,no
"Charlotte County, Virginia",51037,no
"Charlton County, Georgia",13049,no
"Chase County, Nebraska",31029,no
"Chatham County, Georgia",13051,no
"Chatham County, North Carolina",37037,no
"Chattahoochee County, Georgia",13053,no
"Chattooga County, Georgia",13055,no
"Chautauqua County, Kansas",20019,no
"Chautauqua County, New York",36013,no
"Chaves County, New Mexico",35005,no
"Cheatham County, Tennessee",47021,no
"Cheboygan County, Michigan",26031,no
"Chelan County, Washington",53007,no
"Chemung County, New York",36015,no
"Chenango County, New York",36017,no
"Cherokee County, Alabama",1019,no
"Cherokee County, Georgia",13057,no
"Cherokee County, Iowa",19035,no
"Cherokee County, Kansas",20021,no
"Cherokee County, North Carolina",37039,no
"Cherry County, Nebraska",31031,no
"Cheshire County, New Hampshire",33005,no
"Chester County, South Carolina",45023,no
"Chester County, Tennessee",47023,no
"Chesterfield County, Virginia",51041,no
"Cheyenne County, Colorado",8017,no
"Cheyenne County, Kansas",20023,no
"Cheyenne County, Nebraska",31033,no
"Chickasaw County, Mississippi",28017,no
"Childress County, Texas",48075,no
"Chilton County, Alabama",1021,no
"Chippewa County, Michigan",26033,no
"Chippewa County, Minnesota",27023,no
"Chippewa County, Wisconsin",55017,no
"Chisago County, Minnesota",27025,no
"Chittenden County, Vermont",50007,no
"Choctaw County, Mississippi",28019,no
"Chouteau County, Montana",30015,no
"Chowan County, North Carolina",37041,no
"Christian County, Kentucky",21047,no
"Christian County, Missouri",29043,no
"Cimarron County, Oklahoma",40025,no
"Citrus County, Florida",12017,no
"Claiborne County, Mississippi",28021,no
"Claiborne County, Tennessee",47025,no
"Clare County, Michigan",26035,no
"Clarendon County, South Carolina",45027,no
"Clark County, Arkansas",5019,no
"Clark County, Idaho",16033,no
"Clark County, Illinois",17023,no
"Clark County, Kansas",20025,no
"Clark County, Kentucky",21049,no
"Clark County, Missouri",29045,no
"Clark County, South Dakota",46025,no
"Clark County, Washington",53011,no
"Clarke County, Alabama",1025,no
"Clarke County, Georgia",13059,no
"Clarke County, Iowa",19039,no
"Clarke County, Mississippi",28023,no
"Clay County, Alabama",1027,no
"Clay County, Arkansas",5021,no
"Clay County, Florida",12019,no
"Clay County, Georgia",13061,no
"Clay County, Illinois",17025,no
"Clay County, Indiana",18021,no
"Clay County, Iowa",19041,no
"Clay County, Kansas",20027,no
"Clay County, Kentucky",21051,no
"Clay County, Minnesota",27027,no
"Clay County, Mississippi",28025,no
"Clay County, North Carolina",37043,no
"Clay County, South Dakota",46027,no
"Clay County, Texas",48077,no
"Clay County, West Virginia",54015,no
"Clayton County, Georgia",13063,no
"Clayton County, Iowa",19043,no
"Clearfield County, Pennsylvania",42033,no
"Clearwater County, Minnesota",27029,no
"Cleburne County, Alabama",1029,no
"Cleburne County, Arkansas",5023,no
"Clermont County, Ohio",39025,no
"Cleveland County, Arkansas",5025,no
"Cleveland County, North Carolina",37045,no
"Clinch County, Georgia",13065,no
"Clinton County, Illinois",17027,no
"Clinton County, Iowa",19045,no
"Clinton County, Kentucky",21053,no
"Clinton County, Michigan",26037,no
"Clinton County, Missouri",29049,no
"Clinton County, Ohio",39027,no
"Clinton County, Pennsylvania",42035,no
"Cloud County, Kansas",20029,no
"Cobb County, Georgia",13067,no
"Cochran County, Texas",48079,no
"Cocke County, Tennessee",47029,no
"Coffee County, Georgia",13069,no
"Coffee County, Tennessee",47031,no
"Coffey County, Kansas",20031,no
"Colbert County, Alabama",1033,no
"Cole County, Missouri",29051,no
"Coleman County, Texas",48083,no
